CNTSCHID,Loneliness,ClassroomSafety,TeacherSupport,Gender,Homework_Math,Homework_Reading,Homework_Science,SchoolType,ParentsEducation,Immigration,HomeLanguage,Sibling,Aircon,Helper,Vehicle,Books,Exercise,OwnRoom,FamilyCommitment,Preference_Math,Preference_Reading,Preference_Science,Math,Reading,Science
70200092,Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,0.5hr - 1hr,Public,Tertiary,Native,English,1,Yes,No,0,101 - 200,4,Yes,0,Strongly Agree,Disagree,Strongly Disagree,648.1144,617.1602,658.0073
70200158,Strongly Disagree,Strongly Agree,Every lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Post-Secondary,Native,English,1,Yes,Yes,1,26 - 100,0,Yes,0,Disagree,Agree,Agree,453.2217,493.30330000000004,541.9501
70200140,Strongly Disagree,Strongly Agree,Most lesson,Female,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,1,11 - 25,5,No,0,Strongly Agree,Disagree,Disagree,563.5885000000001,472.4221,556.7135
70200156,Disagree,Agree,Every lesson,Female,2hr - 3hr,1hr - 2hr,2hr - 3hr,Private,Tertiary,3rd Generation,Others,1,Yes,No,0,26 - 100,3,Yes,4,Strongly Agree,Disagree,Strongly Agree,614.7687999999999,588.7342,572.3184
70200008,Agree,Agree,Most lesson,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,2nd Generation,English,1,Yes,No,0,26 - 100,2,Yes,1,Strongly Disagree,Agree,Disagree,542.0375,499.634,462.2277
70200137,Disagree,Agree,Most lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,Others,1,Yes,Yes,1,101 - 200,1,Yes,0,Agree,Agree,Agree,478.7924,473.1807,487.9261
70200097,Disagree,Agree,Most lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Secondary,3rd Generation,English,0,Yes,Yes,1,11 - 25,8,No,0,Disagree,Disagree,Disagree,573.4344,423.6493,491.5837
70200060,Agree,Strongly Agree,Some lessons,Female,2hr - 3hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,2,101 - 200,0,Yes,0,Agree,Agree,Agree,625.59,539.2067000000001,561.1017
70200029,Disagree,Agree,Every lesson,Male,1hr - 2hr,0.5hr - 1hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,0,11 - 25,6,Yes,0,Agree,Agree,Agree,533.7903,539.1285,537.8479
70200086,Disagree,Strongly Disagree,Some lessons,Female,≤ 0.5hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,≥3,Yes,No,1,26 - 100,3,Yes,1,Disagree,Agree,Agree,436.2539,426.7904,447.2478
70200092,Disagree,Agree,Most lesson,Male,1hr - 2hr,0.5hr - 1hr,0.5hr - 1hr,Public,Primary,Native,Others,0,Yes,No,1,1 - 10,0,Yes,0,Disagree,Disagree,Disagree,651.5092,604.5462,581.6791000000001
70200015,Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,2hr - 3hr,1hr - 2hr,Public,Tertiary,Native,Others,0,Yes,No,1,11 - 25,3,Yes,10,Agree,Agree,Agree,604.1777,523.1258,644.7669
70200062,Disagree,Agree,Every lesson,Female,2hr - 3hr,≤ 0.5hr,2hr - 3hr,Public,Tertiary,3rd Generation,Others,1,Yes,Yes,0,201-500,0,Yes,3,Disagree,Disagree,Agree,692.0442,611.1594,651.9545
70200145,Disagree,Strongly Agree,Every lesson,Female,1hr - 2hr,≤ 0.5hr,≤ 0.5hr,Public,Tertiary,Native,English,0,Yes,No,0,11 - 25,0,Yes,0,Strongly Disagree,Strongly Disagree,Agree,419.0485,429.6452,483.5855
70200096,Disagree,Strongly Agree,Every lesson,Female,0.5hr - 1hr,≤ 0.5hr,1hr - 2hr,Public,Tertiary,Native,English,2,Yes,No,0,101 - 200,1,Yes,2,Agree,Disagree,Strongly Agree,670.3739,680.47260000000006,646.061
70200107,Agree,Disagree,Every lesson,Male,0.5hr - 1hr,0.5hr - 1hr,0.5hr - 1hr,Public,Post-Secondary,Native,English,2,Yes,No,0,26 - 100,0,No,0,Agree,Agree,Agree,621.1713,586.8582,621.4582
70200148,Strongly Disagree,Strongly Agree,Every lesson,Male,1hr - 2hr,1hr - 2hr,1hr - 2hr,Public,Tertiary,Native,English,1,Yes,No,1,26 - 100,4,Yes,0,Strongly Agree,Strongly Agree,Strongly Agree,423.9578,406.4975,487.2528
70200156,Disagree,Agree,Every lesson,Female,≤ 0.5hr,0.5hr - 1hr,0.5hr - 1hr,Private,Tertiary,3rd Generation,Others,1,Yes,Yes,1,101 - 200,10,Yes,10,Strongly Agree,Strongly Agree,Strongly Agree,590.3235,601.2918999999999,617.2735
70200139,Strongly Disagree,Strongly Agree,Some lessons,Male,2hr - 3hr,2hr - 3hr,2hr - 3hr,Public,Tertiary,Native,English,0,Yes,No,1,11 - 25,3,Yes,10,Agree,Agree,Agree,645.8175,554.5094,617.6795000000001
